Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
1117	6.29488	2.83106	0.818717	1	0.949804	100	0	0
1118	5.54943	2.65815	0.870581	0.897955	1	100	0	0
1119	21.3695	5.21617	0.466295	0.728925	0.902757	27.4892	0	0
1120	8.28273	3.24745	0.60831	0.883076	0.97275	84.4588	0	0
1121	10.5191	3.65969	0.627807	0.843069	0.932126	52.8746	0	0
1122	17.8079	4.76169	0.831733	0.871725	0.945595	69.4682	0	0
1123	7.70294	3.13172	0.560922	0.869549	0.980343	67.6321	0	0
1124	3.31309	2.05386	0.8187	0.900427	0.975241	100	0	0
1125	5.13529	2.55704	0.773124	0.946656	1	100	0	0
1126	37.3551	6.89652	0.474589	0.807908	0.924153	41.7415	0	0
1127	3.81006	2.20252	0.877691	0.965594	0.99983	100	0	0
1128	29.9835	6.17869	0.501424	0.691077	0.8434	22.9988	0	0
1129	9.44232	3.46732	0.831666	0.923813	1	100	0	0
1130	5.63226	2.67791	0.863641	0.916384	1	100	0	0
1131	4.14137	2.29629	0.755101	0.917723	0.967501	100	0	0
1132	7.28881	3.04637	0.830509	0.941675	0.967261	100	0	0
1133	42.1591	7.32657	0.881733	0.950022	0.942131	100	0	0
1134	8.61404	3.31176	0.719117	0.878696	0.97763	76.9774	0	0
1135	4.30702	2.34177	0.894451	0.935887	0.964818	100	0	0
1136	10.3534	3.63075	0.635054	0.846874	0.941676	54.4778	0	0
1137	4.88681	2.49441	0.637168	0.858192	0.974478	60.0595	0	0
1138	5.30095	2.59796	0.654467	0.877613	0.964321	75.5796	0	0
1139	8.61404	3.31176	0.552861	0.81448	0.965445	43.4556	0	0
1140	15.4887	4.44082	0.826159	0.921109	0.973828	100	0	0
1141	3.14744	2.00186	0.750341	0.898761	0.970951	100	0	0
1142	5.96357	2.75555	0.887284	0.898289	0.993538	100	0	0
1143	13.9978	4.22168	0.443722	0.805454	0.940364	41.1326	0	0
1144	5.88074	2.73635	0.777279	0.860109	0.981899	61.1623	0	0
1145	6.54336	2.88639	0.646561	0.861899	0.968764	62.2459	0	0
1146	6.0464	2.77462	0.521989	0.898019	0.982861	100	0	0
1147	4.80399	2.47318	0.835548	0.890596	1	100	0	0
1148	5.30095	2.59796	0.763548	0.893825	0.986948	100	0	0
